Individual,Class,Amount,Unit
CheddarCheeseSodium,SubstancePortion,621,mg/100g
CheddarCheeseVitaminA,SubstancePortion,0.265,mg/100g
FreshMozzarellaCalcium,SubstancePortion,505,mg/100g
FreshMozzarellaCarbohydrate,SubstancePortion,3.83,g/100g
FreshMozzarellaCholesterol,SubstancePortion,79,mg/100g
FreshMozzarellaFat,SubstancePortion,20.03,g/100g
FreshMozzarellaFoodEnergy,SubstancePortion,302,cal/100g
FreshMozzarellaIron,SubstancePortion,0.38,mg/100g
FreshMozzarellaPotassium,SubstancePortion,95,mg/100g
FreshMozzarellaProtein,SubstancePortion,25.96,g/100g
FreshMozzarellaSodium,SubstancePortion,627,mg/100g
FreshMozzarellaVitaminA,SubstancePortion,0.143,mg/100g
ParmesanCheeseCalcium,SubstancePortion,1155,mg/100g
ParmesanCheeseCholesterol,SubstancePortion,80,mg/100g
ParmesanCheeseFat,SubstancePortion,29.7,g/100g
ParmesanCheeseFoodEnergy,SubstancePortion,402,cal/100g
ParmesanCheeseIron,SubstancePortion,0.82,mg/100g
ParmesanCheesePotassium,SubstancePortion,125,mg/100g
ParmesanCheeseProtein,SubstancePortion,32.4,g/100g
ParmesanCheeseSodium,SubstancePortion,1600,mg/100g
ParmesanCheeseVitaminA,SubstancePortion,0.26,mg/100g
LettuceCalcium,SubstancePortion,36,mg/100g
LettuceCarbohydrate,SubstancePortion,2.97,g/100g
LettuceFat,SubstancePortion,0.14,g/100g
LettuceFoodEnergy,SubstancePortion,14,cal/100g
LettuceIron,SubstancePortion,0.5,mg/100g
LettucePotassium,SubstancePortion,194,mg/100g
LettuceProtein,SubstancePortion,0.9,g/100g
LettuceSodium,SubstancePortion,28,mg/100g
LettuceVitaminA,SubstancePortion,0.370,mg/100g
LettuceVitaminC,SubstancePortion,9.2,mg/100g
WhiteCabbageCalcium,SubstancePortion,40,mg/100g
WhiteCabbageCarbohydrate,SubstancePortion,4.8,g/100g
WhiteCabbageFat,SubstancePortion,0.1,g/100g
WhiteCabbageFoodEnergy,SubstancePortion,24,cal/100g
WhiteCabbageIron,SubstancePortion,0.5,mg/100g
WhiteCabbagePotassium,SubstancePortion,170,mg/100g
WhiteCabbageProtein,SubstancePortion,1.2,g/100g
WhiteCabbageSodium,SubstancePortion,18,mg/100g
WhiteCabbageVitaminA,SubstancePortion,0.005,mg/100g
WhiteCabbageVitaminC,SubstancePortion,36.6,mg/100g
RedCabbageCalcium,SubstancePortion,45,mg/100g
RedCabbageCarbohydrate,SubstancePortion,7.37,g/100g
RedCabbageFat,SubstancePortion,0.16,g/100g
RedCabbageFoodEnergy,SubstancePortion,31,cal/100g
RedCabbageIron,SubstancePortion,0.8,mg/100g
RedCabbagePotassium,SubstancePortion,243,mg/100g
RedCabbageProtein,SubstancePortion,1.43,g/100g
RedCabbageSodium,SubstancePortion,27,mg/100g
RedCabbageVitaminA,SubstancePortion,0.015,mg/100g
